dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,ms_nearest_bucket,ms_bounds_evaluation,ms_distance_calculation,ms_query_preprocessing,%_nearest_bucket,%_bounds_evaluation,%_distance_calculation,%_query_preprocessing
agnews-mxbai-1024-euclidean,adsampling,0.378692,0.592931,0.222116,0.7344,2,2.1,10,1000,0,1,0.3812,0.6753,0.2221,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,31.7641,66.2,4.17652,0.994,512,2.1,10,1000,0,1,32.35,100.2,4.177,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,17.3461,36.0542,2.49977,0.983601,256,2.1,10,1000,0,1,17.72,50.16,2.5,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,15.7477,32.0572,2.32468,0.981001,224,2.1,10,1000,0,1,16.01,39.01,2.325,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,14.7884,31.0244,2.10452,0.978801,192,2.1,10,1000,0,1,15.15,45.41,2.105,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,11.1706,22.9902,1.8996,0.975401,160,2.1,10,1000,0,1,11.49,35.6,1.9,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,10.1722,21.5055,1.66562,0.972601,144,2.1,10,1000,0,1,10.43,28.25,1.666,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,9.01278,18.888,1.62538,0.969401,128,2.1,10,1000,0,1,9.333,26.43,1.625,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,8.29817,17.5673,1.50202,0.964101,112,2.1,10,1000,0,1,8.612,28.2,1.502,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,6.95522,14.695,1.42312,0.959001,96,2.1,10,1000,0,1,7.12,23.57,1.423,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,6.04109,12.7892,1.33712,0.950701,80,2.1,10,1000,0,1,6.261,18.85,1.337,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,4.39775,8.74692,1.08949,0.939202,64,2.1,10,1000,0,1,4.567,16.43,1.089,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,3.92396,7.78392,1.00346,0.931602,56,2.1,10,1000,0,1,4.064,14.42,1.003,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,3.4046,6.72763,0.878131,0.923301,48,2.1,10,1000,0,1,3.499,12.12,0.8781,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,2.92214,5.63507,0.803001,0.914102,40,2.1,10,1000,0,1,3.015,10.23,0.803,0,0,0,0,-nan,-nan,-nan,-nan
openai-1536-angular,adsampling,2.65577,5.19283,0.781921,0.898601,32,2.1,10,1000,0,1,2.73,9.255,0.7819,0,0,0,0,-nan,-nan,-nan,-nan
